"id","certificateid","courseid","coursename","cpath","startdate","enddate","duration","flag","certificatetype","createdate"
"1","ISS-PMS-INTERN-B10-08-2022-","Python Intership-B10","Python Basic & Advanced","Python Intership-B10.jpg","2022-07-13","2022-08-13","31 days","0","landscape","2022-08-13 18:51:52"
"2","ISS-PMS-INTERN-B11-08-2022-","Python Intership-B11","Python Basic & Advanced","Python Intership-B11.jpg","2022-07-19","2022-08-19","31 days","1","landscape","2022-08-15 21:12:35"
"3","ISS-BXL-09-2022-","Excel Workshop-B1","Business Analytics Using Excel","Excel Workshop-B1.jpg","2022-09-10","2022-09-12","3 days","0","landscape","2022-09-11 15:14:51"
"8","DSCI-10-2022-","DSCI","Data Science Using Python","DSCI.jpg","2022-09-05","2022-10-12","37 Days","0","landscape","2022-10-11 15:41:12"
"10","ISS-SMP-10-2022-","SmartPLS4","SmartPLS4- Structural Equation Modelling (SEM)","SmartPLS4.jpg","2022-10-29","2022-10-31","3 Days","0","landscape","2022-10-31 14:46:31"
"13","ISS-SMP-10-2022-","SmartPLS445","SmartPLS4- Structural Equation Modelling (SEM)","SmartPLS445.jpg","2022-10-29","2022-10-31","3 Days","0","landscape","2022-11-03 21:59:58"
"14","ISS-AIWS-11-2022-","AIWS","Academic Integrity and Scholarly Writing","AIWS.jpg","05/11/2022","07/11/2022","3 Days","0","landscape","2022-11-06 17:43:48"
"15","ISS-PMS-INTERN-B15-11-2022-","Python Intership-B15","Python Made Simple (Basic & Advanced) ","Python Intership-B15.jpg","13/10/2022","13/11/2022","31 Days","0","landscape","2022-11-09 12:11:42"
"17","ISS-MATLAB-11-2022-","Matlab","MATLAB Modelling of Physical Systems","Matlab.jpg","26/11/2022","28/11/2022","3 Days","0","landscape","2022-11-26 18:30:18"
"19","ISS-DXL-12-2022-","Excel","DATA ANALYSIS USING EXCEL","Excel.jpg","10/12/2022","12/12/2022","3 Days","0","landscape","2022-12-10 11:46:23"
"20","ISS-ML-12-2022-","ML","Machine Learning - A Deep Dive","ML.jpg","17/12/2022","19/12/2022","3 Days","0","landscape","2022-12-19 10:48:37"
"21","ISS-ML-12-2022-","ML","Machine Learning - A Deep Dive","ML.jpg","17/12/2022","19/12/2022","3 Days","0","landscape","2022-12-19 10:49:55"
"23","ISS-SAP-01-2023-","erp-sap","Enterprise Resource Planning (ERP)- SAP Walkthrough","erp-sap.jpg","21/01/2023","23/01/2023","3 Days","0","landscape","2023-01-23 08:17:51"
"25","ISS-AP-02-2023-","msap","Making Successful Academic Presentations","msap.jpg","18/02/2023","20/02/2023","3 Days","0","landscape","2023-02-20 14:34:53"
"26"," ISS-AE-03-2023-","ae","Accounting Essentials - A Deep Dive","ae.jpg","04/03/2023","06/03/2023","3 Days","0","landscape","2023-03-05 19:59:34"
"27","ISS-ML-INTERN-B20-03-2023-","ML_Python","Machine Learning Using Python","ML_Python.jpg","20/02/2023","20/03/2023","28 Days","0","landscape","2023-03-16 10:23:51"
"29","ISS-APT-INTERN-B5-03-2023-","aps","Aptitude Skills","aps.jpg","13/03/2023","26/03/2023","13 Days","0","landscape","2023-03-23 08:00:45"
"30","ISS-DOS-INTERN-B19-03-2023-","ons","Design Using Onshape","ons.jpg","27/02/2023","03/04/2023","5 Days","0","landscape","2023-04-04 14:52:36"
"32","ISS-DB-04-2023-","bid","Building Interactive Dashboards","bid.jpg","08/04/2023","10/04/2023","3 Days","0","landscape","2023-04-09 18:59:40"
"33"," ISS-BI-FDP-04-23-","pbi","Data Analytics using Power BI","pbi.jpg","21/04/2023","25/04/2023","5 Days","0","landscape","2023-04-23 22:09:31"
"35","ISS-FDP-SQL-05-","sql","Data Analytics using Python & SQL","sql.jpg","15/05/2023","25/05/2023","10 Days","0","landscape","2023-05-22 14:35:12"
"36","ISS-CCI-06-2023-","cci","Cracking Coding Interviews","cci.jpg","10/06/2023","12/06/2023","3 Days","0","landscape","2023-06-11 20:13:23"
"37","ISS-CB-06-2023-","chatbot","Build your own chatbots using NLP and Python","chatbot.jpg","17/06/2023","19/06/2023","3 Days","0","landscape","2023-06-18 23:15:49"
